date,key,item,category,role,price,ma7,ma30,chg_1d,chg_30d,month
2025-09-10,baechu,배추,채소류,국·김치,7033.0,,,,,9
2025-09-11,baechu,배추,채소류,국·김치,7021.0,,,-0.17062420019906543,,9
2025-09-12,baechu,배추,채소류,국·김치,7015.0,7023.0,,-0.08545791197834829,,9
2025-09-15,baechu,배추,채소류,국·김치,6336.0,6851.25,,-9.679258731290098,,9
2025-09-16,baechu,배추,채소류,국·김치,6206.0,6722.2,,-2.0517676767676796,,9
2025-09-17,baechu,배추,채소류,국·김치,6097.0,6618.0,,-1.7563648082500771,,9
2025-09-18,baechu,배추,채소류,국·김치,6375.0,6583.285714285715,,4.559619484992616,,9
2025-09-19,baechu,배추,채소류,국·김치,6320.0,6481.428571428572,,-0.8627450980392193,,9
2025-09-22,baechu,배추,채소류,국·김치,6129.0,6354.0,,-3.022151898734182,,9
2025-09-23,baechu,배추,채소류,국·김치,6064.0,6218.142857142857,6459.6,-1.0605318975362987,,9
2025-09-24,baechu,배추,채소류,국·김치,6139.0,6190.0,6430.454545454545,1.2368073878628039,,9
2025-09-25,baechu,배추,채소류,국·김치,6035.0,6165.571428571428,6397.5,-1.694086984850951,,9
2025-09-26,baechu,배추,채소류,국·김치,6074.0,6162.285714285715,6372.615384615385,0.6462303231151711,,9
2025-09-29,baechu,배추,채소류,국·김치,6104.0,6123.571428571428,6353.428571428572,0.4939084622983314,,9
2025-09-30,baechu,배추,채소류,국·김치,6094.0,6091.285714285715,6336.133333333333,-0.163826998689387,,9
2025-10-01,baechu,배추,채소류,국·김치,6208.0,6102.571428571428,6328.125,1.8706924844108963,,10
2025-10-02,baechu,배추,채소류,국·김치,6265.0,6131.285714285715,6324.411764705882,0.9181701030927858,,10
2025-10-03,baechu,배추,채소류,국·김치,6488.5,6181.214285714285,6333.527777777777,3.5674381484437356,,10
2025-10-06,baechu,배추,채소류,국·김치,6712.0,6277.928571428572,6353.4473684210525,3.4445557524851678,,10
2025-10-07,baechu,배추,채소류,국·김치,6935.5,6401.0,6382.55,3.329856972586409,,10
2025-10-10,baechu,배추,채소류,국·김치,7606.0,6615.571428571428,6440.809523809524,9.667651935693167,,10
2025-10-13,baechu,배추,채소류,국·김치,6791.0,6715.142857142857,6456.727272727273,-10.715224822508551,,10
2025-10-14,baechu,배추,채소류,국·김치,6556.0,6764.857142857143,6461.04347826087,-3.460462376675011,,10
2025-10-15,baechu,배추,채소류,국·김치,6422.0,6787.285714285715,6459.416666666667,-2.0439292251372754,,10
2025-10-16,baechu,배추,채소류,국·김치,5908.0,6704.357142857143,6437.36,-8.003737153534729,,10
2025-10-17,baechu,배추,채소류,국·김치,5783.0,6571.642857142857,6412.192307692308,-2.1157752200406277,,10
2025-10-20,baechu,배추,채소류,국·김치,5724.0,6398.571428571428,6386.7037037037035,-1.020231713643438,,10
2025-10-21,baechu,배추,채소류,국·김치,5661.0,6120.714285714285,6360.785714285715,-1.1006289308176154,,10
2025-10-22,baechu,배추,채소류,국·김치,5599.0,5950.428571428572,6334.517241379311,-1.0952128599187372,,10
2025-10-23,baechu,배추,채소류,국·김치,5581.0,5811.142857142857,6309.4,-0.32148597963922443,,10
2025-10-24,baechu,배추,채소류,국·김치,5575.0,5690.142857142857,6260.8,-0.10750761512273721,-20.730840324185984,10
2025-10-27,baechu,배추,채소류,국·김치,5432.0,5622.142857142857,6207.833333333333,-2.5650224215246653,-22.632103688933203,10
2025-10-28,baechu,배추,채소류,국·김치,5456.0,5575.428571428572,6155.866666666667,0.44182621502208974,-22.223806129722025,10
2025-10-29,baechu,배추,채소류,국·김치,5311.0,5516.428571428572,6121.7,-2.6576246334310882,-16.177398989898993,10
2025-10-30,baechu,배추,채소류,국·김치,4040.0,5284.857142857143,6049.5,-23.931463001318022,-34.90170802449243,10
2025-10-31,baechu,배추,채소류,국·김치,4015.0,5058.571428571428,5980.1,-0.6188118811881194,-34.14794161062817,10
2025-11-03,baechu,배추,채소류,국·김치,3986.0,4830.714285714285,5900.466666666666,-0.7222914072229192,-37.47450980392158,11
2025-11-04,baechu,배추,채소류,국·김치,3991.0,4604.428571428572,5822.833333333333,0.12543903662820544,-36.851265822784804,11
2025-11-05,baechu,배추,채소류,국·김치,3957.0,4393.714285714285,5750.433333333333,-0.8519168128288679,-35.43808125305923,11
2025-11-06,baechu,배추,채소류,국·김치,3438.0,4105.428571428572,5662.9,-13.115996967399546,-43.3047493403694,11
2025-11-07,baechu,배추,채소류,국·김치,3517.0,3849.1428571428573,5575.5,2.29784758580569,-42.71053917576152,11
2025-11-10,baechu,배추,채소류,국·김치,3550.0,3779.1428571428573,5492.666666666667,0.9382996872334459,-41.17647058823529,11
2025-11-11,baechu,배추,채소류,국·김치,3506.0,3706.4285714285716,5407.066666666667,-1.2394366197183149,-42.27856437273625,11
2025-11-12,baechu,배추,채소류,국·김치,3447.0,3629.4285714285716,5318.5,-1.682829435253852,-43.52883355176933,11
2025-11-13,baechu,배추,채소류,국·김치,3392.0,3543.8571428571427,5228.433333333333,-1.595590368436317,-44.338693797177555,11
2025-11-14,baechu,배추,채소류,국·김치,3369.0,3459.8571428571427,5133.8,-0.6780660377358472,-45.73131443298969,11
2025-11-17,baechu,배추,채소류,국·김치,3064.0,3406.4285714285716,5027.1,-9.053131493024635,-51.09337589784517,11
2025-11-18,baechu,배추,채소류,국·김치,3380.0,3386.8571428571427,4923.483333333334,10.313315926892951,-47.9078369422825,11
2025-11-19,baechu,배추,채소류,국·김치,3438.0,3370.8571428571427,4814.35,1.7159763313609577,-48.778307508939214,11
2025-11-20,baechu,배추,채소류,국·김치,3675.0,3395.0,4705.666666666667,6.893542757417093,-47.011751135462475,11
2025-11-21,baechu,배추,채소류,국·김치,3720.0,3434.0,4576.133333333333,1.2244897959183598,-51.09124375493032,11
2025-11-24,baechu,배추,채소류,국·김치,3788.0,3490.5714285714284,4476.033333333334,1.8279569892473146,-44.22029156236194,11
2025-11-25,baechu,배추,채소류,국·김치,3799.0,3552.0,4384.133333333333,0.29039070749736773,-42.053081147040885,11
