date,region,avg_ta,min_ta,max_ta,sum_rn
2024-09-08,창원,28.4,25.7,33.4,0.0
2024-09-09,창원,28.6,25.8,34.0,0.0
2024-09-10,창원,28.6,24.7,34.4,0.0
2024-09-11,창원,28.1,26.4,32.6,10.2
2024-09-12,창원,28.9,26.2,33.7,0.0
2024-09-13,창원,29.3,25.7,33.8,0.0
2024-09-14,창원,29.2,25.9,33.9,0.0
2024-09-15,창원,29.8,27.3,33.0,0.0
2024-09-16,창원,28.9,26.8,31.7,0.0
2024-09-17,창원,29.8,26.8,35.6,0.0
2024-09-18,창원,29.7,26.8,35.0,0.0
2024-09-19,창원,29.4,25.9,34.4,0.0
2024-09-20,창원,27.1,25.3,29.2,131.7
2024-09-21,창원,23.8,21.5,26.3,397.7
2024-09-22,창원,22.4,20.7,24.4,1.1
2024-09-23,창원,21.1,17.7,25.7,0.0
2024-09-24,창원,22.0,17.6,27.1,0.0
2024-09-25,창원,23.2,19.1,29.6,0.0
2024-09-26,창원,24.4,19.8,30.9,0.0
2024-09-27,창원,24.9,21.4,30.2,0.0
2024-09-28,창원,24.2,21.2,28.3,0.1
2024-09-29,창원,23.0,19.5,27.3,0.0
2024-09-30,창원,22.7,18.3,28.8,0.0
2024-10-01,창원,23.4,19.7,29.0,0.0
2024-10-02,창원,18.9,15.4,23.0,0.0
2024-10-03,창원,18.3,15.1,22.4,6.5
2024-10-04,창원,18.7,14.1,24.7,0.0
2024-10-05,창원,20.0,14.5,25.3,0.0
2024-10-06,창원,18.9,16.2,22.3,4.3
2024-10-07,창원,17.5,15.8,20.0,1.8
2024-10-08,창원,19.7,15.9,25.3,1.0
2024-10-09,창원,18.9,15.3,23.5,0.0
2024-10-10,창원,19.2,14.7,25.4,0.5
2024-10-11,창원,19.7,14.7,25.8,0.0
2024-10-12,창원,19.8,15.4,26.0,0.0
2024-10-13,창원,20.3,14.3,24.8,0.0
2024-10-14,창원,20.8,18.7,23.8,22.0
